"justiceName","term","caseName","issueArea","majVotes","minVotes","justice","vote","majority"
"AJGoldberg",1962,"UNITED STATES v. HALEY",9,8,0,96,NA,NA
"AJGoldberg",1962,"UNITED STATES v. UNITED STATES DISTRICT COURT FOR THE NORTHERN DISTRICT OF TEXAS",9,8,0,96,NA,NA
"AJGoldberg",1962,"GARVIN v. COCHRAN, CORRECTIONS DIRECTOR",9,8,0,96,NA,NA
"AJGoldberg",1962,"GARVIN v. COCHRAN, CORRECTIONS DIRECTOR",9,8,0,96,NA,NA
"AJGoldberg",1962,"IOANNOU v. NEW YORK et al.",9,7,0,96,1,2
"AJGoldberg",1962,"WALTON v. ARKANSAS",1,9,0,96,1,2
"AJGoldberg",1962,"UNITED STATES v. LOEW'S INCORPORATED et al.",8,7,2,96,1,2
"AJGoldberg",1962,"LOEW'S INCORPORATED et al. v. UNITED STATES",8,9,0,96,1,2
"AJGoldberg",1962,"C & C SUPER CORP. v. UNITED STATES",8,9,0,96,1,2
"AJGoldberg",1962,"WETZEL v. OHIO",9,5,3,96,1,2
"AJGoldberg",1962,"SOUTHERN CONSTRUCTION CO., INC., et al. v. PICKARD, DOING BUSINESS AS PICKARD ENGINEERING CO.",9,9,0,96,1,2
"AJGoldberg",1962,"SOUTHERN CONSTRUCTION CO., INC., et al. v. PICKARD, DOING BUSINESS AS PICKARD ENGINEERING CO.",9,9,0,96,1,2
"AJGoldberg",1962,"Ex parte GEORGE",10,9,0,96,1,2
"AJGoldberg",1962,"UNITED STATES v. SAMPSON et al.",1,8,1,96,1,2
"AJGoldberg",1962,"HEWITT-ROBINS INCORPORATED v. EASTERN FREIGHT-WAYS, INC.",8,6,3,96,1,2
"AJGoldberg",1962,"LOS ANGELES MEAT & PROVISION DRIVERS UNION et al. v. UNITED STATES",7,8,1,96,4,2
"AJGoldberg",1962,"LOS ANGELES MEAT & PROVISION DRIVERS UNION et al. v. UNITED STATES",7,8,1,96,4,2
"AJGoldberg",1962,"LOS ANGELES MEAT & PROVISION DRIVERS UNION et al. v. UNITED STATES",7,8,1,96,4,2
"AJGoldberg",1962,"GILBERTVILLE TRUCKING CO., INC., et al. v. UNITED STATES et al.",8,9,0,96,1,2
"AJGoldberg",1962,"PEARLMAN, TRUSTEE IN BANKRUPTCY, v. RELIANCE INSURANCE CO.",8,8,1,96,1,2
"AJGoldberg",1962,"PEARLMAN, TRUSTEE IN BANKRUPTCY, v. RELIANCE INSURANCE CO.",8,8,1,96,1,2
"AJGoldberg",1962,"FEDERAL POWER COMMISSION v. TENNESSEE GAS TRANSMISSION CO. et al.",8,9,0,96,1,2
"AJGoldberg",1962,"PITTSBURGH v. TENNESSEE GAS TRANSMISSION CO. et al.",8,9,0,96,1,2
"AJGoldberg",1962,"BURLINGTON TRUCK LINES, INC., et al. v. UNITED STATES et al.",9,8,1,96,3,2
"AJGoldberg",1962,"GENERAL DRIVERS & HELPERS UNION, LOCAL 554, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN & HELPERS OF AMERICA, v. UNITED STATES et al.",9,8,1,96,3,2
"AJGoldberg",1962,"GENERAL DRIVERS & HELPERS UNION, LOCAL 554, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN & HELPERS OF AMERICA, v. UNITED STATES et al.",9,8,1,96,3,2
"AJGoldberg",1962,"GENERAL DRIVERS & HELPERS UNION, LOCAL 554, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN & HELPERS OF AMERICA, v. UNITED STATES et al.",9,8,1,96,3,2
"AJGoldberg",1962,"FOMAN v. DAVIS, EXECUTRIX",9,9,0,96,1,2
"AJGoldberg",1962,"PENSICK & GORDON, INC., v. CALIFORNIA MOTOR EXPRESS et al.",8,6,3,96,1,2
"AJGoldberg",1962,"FORD v. FORD",9,9,0,96,1,2
