"justiceName","term","caseName","issueArea","majVotes","minVotes","justice","vote","majority"
"AScalia",1986,"ROSE v. ARKANSAS STATE POLICE et al.",10,8,0,105,1,2
"AScalia",1986,"NORTH CAROLINA DEPARTMENT OF TRANSPORTATION et al. v. CREST STREET COMMUNITY COUNCIL, INC., et al.",6,6,3,105,1,2
"AScalia",1986,"O'CONNOR et ux. v. UNITED STATES",12,9,0,105,1,2
"AScalia",1986,"COPLIN et ux. v. UNITED STATES",12,9,0,105,1,2
"AScalia",1986,"MATTOX et ux. v. UNITED STATES",12,9,0,105,1,2
"AScalia",1986,"KELLY, CONNECTICUT CHIEF STATE'S ATTORNEY, et al. v. ROBINSON",8,7,2,105,1,2
"AScalia",1986,"ANSONIA BOARD OF EDUCATION et al. v. PHILBROOK et al.",2,8,1,105,1,2
"AScalia",1986,"ANSONIA BOARD OF EDUCATION et al. v. PHILBROOK et al.",2,8,1,105,1,2
"AScalia",1986,"CERBONE, JUSTICE OF THE VILLAGE COURT, VILLAGE OF MT. KISCO, NEW YORK, et al.  v. CONWAY",9,9,0,105,1,2
"AScalia",1986,"IMMIGRATION AND NATURALIZATION SERVICE v. HECTOR",2,7,0,105,1,2
"AScalia",1986,"CITY OF NEWPORT, KENTUCKY, et al. v. IACOBUCCI, DBA TALK OF THE TOWN, et al.",3,5,2,105,7,NA
"AScalia",1986,"CARGILL, INC., et al. v. MONFORT OF COLORADO, INC.",8,6,2,105,1,2
"AScalia",1986,"R. J. REYNOLDS TOBACCO CO. v. DURHAM COUNTY, NORTH CAROLINA, et al.",8,9,0,105,1,2
"AScalia",1986,"R. J. REYNOLDS TOBACCO CO. v. DURHAM COUNTY, NORTH CAROLINA, et al.",8,9,0,105,1,2
"AScalia",1986,"R. J. REYNOLDS TOBACCO CO. v. DURHAM COUNTY, NORTH CAROLINA, et al.",8,9,0,105,1,2
"AScalia",1986,"R. J. REYNOLDS TOBACCO CO. v. DURHAM COUNTY, NORTH CAROLINA, et al.",8,9,0,105,1,2
"AScalia",1986,"R. J. REYNOLDS TOBACCO CO. v. DURHAM COUNTY, NORTH CAROLINA, et al.",8,9,0,105,1,2
"AScalia",1986,"R. J. REYNOLDS TOBACCO CO. v. DURHAM COUNTY, NORTH CAROLINA, et al.",8,9,0,105,1,2
"AScalia",1986,"R. J. REYNOLDS TOBACCO CO. v. DURHAM COUNTY, NORTH CAROLINA, et al.",8,9,0,105,1,2
