"justiceName","term","caseName","issueArea","majVotes","minVotes","justice","vote","majority"
"CEWhittaker",1956,"GUSS, DOING BUSINESS AS PHOTO SOUND PRODUCTS MANUFACTURING CO., v. UTAH LABOR RELATIONS BOARD",10,6,2,93,NA,NA
"CEWhittaker",1956,"AMALGAMATED MEAT CUTTERS & BUTCHER WORKMEN OF NORTH AMERICA, LOCAL NO. 427, AFL, et al. v. FAIRLAWN MEATS, INC.",10,6,2,93,NA,NA
"CEWhittaker",1956,"SAN DIEGO BUILDING TRADES COUNCIL et al. v. GARMON et al.",10,6,2,93,NA,NA
"CEWhittaker",1956,"BROTHERHOOD OF RAILROAD TRAINMEN et al. v. CHICAGO RIVER & INDIANA RAILROAD CO. et al.",7,8,0,93,NA,NA
"CEWhittaker",1956,"PEAK v. UNITED STATES",8,5,3,93,NA,NA
"CEWhittaker",1956,"ROVIARO v. UNITED STATES",1,6,1,93,NA,NA
"CEWhittaker",1956,"UNITED STATES ex rel. HINTOPOULOS et ux. v. SHAUGHNESSY, DISTRICT DIRECTOR, IMMIGRATION AND NATURALIZATION SERVICE",2,6,2,93,NA,NA
"CEWhittaker",1956,"HAYNES et ux. v. UNITED STATES",12,6,2,93,NA,NA
"CEWhittaker",1956,"NATIONAL LABOR RELATIONS BOARD v. TRUCK DRIVERS LOCAL UNION NO. 449, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN AND HELPERS OF AMERICA, A. F. L.",7,8,0,93,NA,NA
"CEWhittaker",1956,"UNITED STATES v. OHIO POWER CO.",9,4,3,93,NA,NA
"CEWhittaker",1956,"UNITED STATES v. UNION PACIFIC RAILROAD CO.",8,5,3,93,NA,NA
"CEWhittaker",1956,"BENZ et al. v. COMPANIA NAVIERA HIDALGO, S. A.",7,7,1,93,NA,NA
"CEWhittaker",1956,"DEEN v. GULF, COLORADO & SANTA FE RAILWAY CO.",8,5,3,93,2,1
"CEWhittaker",1956,"THOMSON v. TEXAS & PACIFIC RAILWAY CO.",8,6,2,93,2,1
