"justiceName","term","caseName","issueArea","majVotes","minVotes","justice","vote","majority"
"EKagan",2010,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",1,9,0,114,1,2
"EKagan",2010,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",1,8,0,114,NA,NA
"EKagan",2010,"CARLOS RASHAD GOULD, PETITIONER v. UNITED STATES",1,8,0,114,NA,NA
"EKagan",2010,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",2,8,0,114,NA,NA
"EKagan",2010,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",8,4,4,114,NA,NA
"EKagan",2010,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",2,8,0,114,1,2
"EKagan",2010,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",12,8,0,114,NA,NA
"EKagan",2010,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",8,8,1,114,1,2
"EKagan",2010,"KELLY HARRINGTON, WARDEN, PETITIONER, v. JOSHUA RICHTER",1,8,0,114,NA,NA
"EKagan",2010,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",2,8,0,114,NA,NA
"EKagan",2010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",5,8,0,114,NA,NA
"EKagan",2010,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",1,9,0,114,1,2
"EKagan",2010,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",4,9,0,114,1,2
"EKagan",2010,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",8,9,0,114,1,2
"EKagan",2010,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",2,9,0,114,1,2
"EKagan",2010,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,9,0,114,1,2
"EKagan",2010,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",2,8,0,114,NA,NA
"EKagan",2010,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",10,6,2,114,NA,NA
"EKagan",2010,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",8,6,2,114,NA,NA
"EKagan",2010,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",8,7,2,114,1,2
"EKagan",2010,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",2,9,0,114,1,2
"EKagan",2010,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",10,8,0,114,NA,NA
"EKagan",2010,"MICHIGAN, PETITIONER v. RICHARD PERRY BRYANT",1,6,2,114,NA,NA
"EKagan",2010,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",5,8,0,114,NA,NA
"EKagan",2010,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",2,8,0,114,NA,NA
"EKagan",2010,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",2,8,0,114,NA,NA
"EKagan",2010,"ALBERT SNYDER, PETITIONER v. FRED W. PHELPS, SR., et al.",3,8,1,114,1,2
"EKagan",2010,"JASON PEPPER, PETITIONER v. UNITED STATES",1,6,2,114,NA,NA
"EKagan",2010,"JASON PEPPER, PETITIONER v. UNITED STATES",1,6,2,114,NA,NA
"EKagan",2010,"ASHBEL T. WALL, II, DIRECTOR, RHODE ISLAND DEPARTMENT OF CORRECTIONS, PETITIONER v. KHALIL KHOLI",1,9,0,114,1,2
"EKagan",2010,"GLEN SCOTT MILNER, PETITIONER v. DEPARTMENT OF THE NAVY",5,8,1,114,1,2
"EKagan",2010,"HENRY W. SKINNER, PETITIONER v. LYNN SWITZER, DISTRICT ATTORNEY FOR THE 31ST JUDICIAL DISTRICT OF TEXAS",2,6,3,114,1,2
"EKagan",2010,"T. FELKNER v. STEVEN FRANK JACKSON",2,9,0,114,1,2
"EKagan",2010,"KEVIN KASTEN, PETITIONER v. SAINT-GOBAIN PERFORMANCE PLASTICS CORPORATION",7,6,2,114,NA,NA
"EKagan",2010,"MATRIXX INITIATIVES, INC., et al., PETITIONERS v. JAMES SIRACUSANO et al.",8,9,0,114,1,2
"EKagan",2010,"HARRY F. CONNICK, DISTRICT ATTORNEY, et al., PETITIONERS v. JOHN THOMPSON",2,5,4,114,2,1
"EKagan",2010,"HARRY F. CONNICK, DISTRICT ATTORNEY, et al., PETITIONERS v. JOHN THOMPSON",1,5,4,114,2,1
