"justiceName","term","caseName","issueArea","majVotes","minVotes","justice","vote","majority"
"PStewart",1958,"DEEN v. HICKMAN, CHIEF JUSTICE, SUPREME COURT OF TEXAS, et al.",8,8,0,94,NA,NA
"PStewart",1958,"PEURIFOY et al. v. COMMISSIONER OF INTERNAL REVENUE",12,6,3,94,1,2
"PStewart",1958,"BOSTON & MAINE RAILROAD et al. v. UNITED STATES et al.",8,9,0,94,1,2
"PStewart",1958,"CHICAGO, BURLINGTON & QUINCY RAILROAD CO. et al. v. BOSTON & MAINE RAILROAD et al.",8,9,0,94,1,2
"PStewart",1958,"SANGAMON VALLEY TELEVISION CORP. v. UNITED STATES et al.",8,7,2,94,1,2
"PStewart",1958,"WIRL TELEVISION CORP. v. UNITED STATES et al.",8,7,2,94,1,2
"PStewart",1958,"WORZ, INC., v. FEDERAL COMMUNICATIONS COMMISSION et al.",8,7,2,94,1,2
"PStewart",1958,"CALIFORNIA v. WASHINGTON",11,9,0,94,1,2
"PStewart",1958,"HINKLE, ADMINISTRATRIX, et al. v. NEW ENGLAND MUTUAL INSURANCE COMPANY OF BOSTON, MASSACHUSETTS.",9,9,0,94,1,2
"PStewart",1958,"HAWKINS v. UNITED STATES",1,9,0,94,4,2
"PStewart",1958,"FEDERAL HOUSING ADMINISTRATION v. THE DARLINGTON, INC.",8,5,3,94,NA,NA
"PStewart",1958,"FEDERAL HOUSING ADMINISTRATION v. THE DARLINGTON, INC.",8,5,3,94,NA,NA
"PStewart",1958,"HOTEL EMPLOYEES LOCAL NO. 255, HOTEL AND RESTAURANT EMPLOYEES AND BARTENDERS INTERNATIONAL UNION, et al. v. LEEDOM, CHAIRMAN, NATIONAL LABOR RELATIONS BOARD, et al.",9,9,0,94,1,2
"PStewart",1958,"SHUTTLESWORTH et al. v. BIRMINGHAM BOARD OF EDUCATION OF JEFFERSON COUNTY, ALABAMA.",2,9,0,94,1,2
"PStewart",1958,"UNITED GAS PIPE LINE CO. v. MEMPHIS LIGHT, GAS AND WATER DIVISION et al.",8,5,3,94,1,2
"PStewart",1958,"FEDERAL POWER COMMISSION v. MEMPHIS LIGHT, GAS AND WATER  DIVISION et al.",8,5,3,94,1,2
"PStewart",1958,"TEXAS GAS TRANSMISSION CORP. et al. v. MEMPHIS LIGHT, GAS AND WATER  DIVISION et al.",8,5,3,94,1,2
"PStewart",1958,"UNITED STATES v. A & P TRUCKING CO. et al.",8,9,0,94,1,2
"PStewart",1958,"UNITED STATES v. A & P TRUCKING CO. et al.",8,5,4,94,1,2
"PStewart",1958,"AMERICAN TRUCKING ASSOCIATIONS, INC., et al. v. FRISCO TRANSPORTATION CO.",8,7,1,94,NA,NA
"PStewart",1958,"RAILWAY LABOR EXECUTIVES' ASSOCIATION et al. v. FRISCO TRANSPORTATION CO.",8,7,1,94,NA,NA
"PStewart",1958,"INTERSTATE COMMERCE COMMISSION v. FRISCO TRANSPORTATION CO.",8,7,1,94,NA,NA
"PStewart",1958,"FLAXER v. UNITED STATES",3,9,0,94,1,2
"PStewart",1958,"FLEMMING, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, v. FLORIDA CITRUS EXCHANGE et al.",9,9,0,94,1,2
"PStewart",1958,"LADNER v. UNITED STATES",1,8,1,94,1,2
"PStewart",1958,"LEEDOM et al., MEMBERS OF THE NATIONAL LABOR RELATIONS BOARD, v. KYNE",9,7,2,94,1,2
"PStewart",1958,"EVERS et al. v. DWYER et al.",2,9,0,94,1,2
"PStewart",1958,"MITCHELL, SECRETARY OF LABOR, v. LUBLIN, MCGAUGHY & ASSOCIATES et al.",7,7,2,94,2,1
"PStewart",1958,"WILLIAMS et ux. v. LEE, DOING BUSINESS AS GANADO TRADING POST",2,9,0,94,1,2
"PStewart",1958,"TERRITORY OF ALASKA v. AMERICAN CAN CO. et al.",8,7,0,94,1,2
"PStewart",1958,"LEE v. MADIGAN, WARDEN",2,6,2,94,1,2
"PStewart",1958,"INTERNATIONAL BOXING CLUB OF NEW YORK, INC., et al. v. UNITED STATES",8,5,3,94,NA,NA
"PStewart",1958,"HOTEL EMPLOYEES UNION, LOCAL NO. 255, et al. v. SAX ENTERPRISES, INC., et al.",10,9,0,94,1,2
"PStewart",1958,"HOTEL EMPLOYEES UNION, LOCAL NO. 255, et al. v. LEVY et al.",10,9,0,94,1,2
"PStewart",1958,"HAHN v. ROSS ISLAND SAND & GRAVEL CO.",8,5,2,94,2,1
"PStewart",1958,"UNITED STATES ex rel. JENNINGS v. RAGEN, WARDEN",1,8,0,94,1,2
"PStewart",1958,"UNITED STATES ex rel. JENNINGS v. RAGEN, WARDEN",1,8,0,94,1,2
"PStewart",1958,"LOCAL 24, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN AND HELPERS OF AMERICA, AFL-CIO, et al. v. OLIVER et al.",10,5,1,94,NA,NA
"PStewart",1958,"DRAPER v. UNITED STATES",1,6,1,94,1,2
"PStewart",1958,"DRAPER v. UNITED STATES",1,6,1,94,1,2
"PStewart",1958,"GREENE v. UNITED STATES",1,9,0,94,1,2
"PStewart",1958,"ROGERS, ATTORNEY GENERAL, SUCCESSOR TO THE ALIEN PROPERTY CUSTODIAN, v. CALUMET NATIONAL BANK OF HAMMOND, SUBSTITUTED TRUSTEE, et al.",9,9,0,94,1,2
"PStewart",1958,"HERRMANN, TRUSTEE, v. ROGERS, ATTORNEY GENERAL",9,9,0,94,1,2
"PStewart",1958,"UNITED STATES v. RADIO CORPORATION OF AMERICA et al.",8,7,0,94,1,2
"PStewart",1958,"UNITED STATES v. RADIO CORPORATION OF AMERICA et al.",8,7,0,94,1,2
"PStewart",1958,"UNITED STATES v. RADIO CORPORATION OF AMERICA et al.",8,7,0,94,1,2
"PStewart",1958,"ROMERO v. INTERNATIONAL TERMINAL OPERATING CO. et al.",8,7,2,94,1,2
"PStewart",1958,"ROMERO v. INTERNATIONAL TERMINAL OPERATING CO. et al.",8,5,4,94,1,2
"PStewart",1958,"ROMERO v. INTERNATIONAL TERMINAL OPERATING CO. et al.",8,5,4,94,1,2
"PStewart",1958,"HEFLIN v. UNITED STATES",1,9,0,94,3,2
"PStewart",1958,"HEFLIN v. UNITED STATES",1,9,0,94,3,2
"PStewart",1958,"CRUMADY v. THE JOACHIM HENDRIK FISSER et al.",8,6,3,94,1,2
"PStewart",1958,"THE JOACHIM HENDRIK FISSER v. NACIREMA OPERATING CO., INC.",8,6,3,94,1,2
"PStewart",1958,"NORTHWESTERN STATES PORTLAND CEMENT CO. v. MINNESOTA",8,6,3,94,2,1
"PStewart",1958,"WILLIAMS, STATE REVENUE COMMISSIONER, v. STOCKHAM VALVES & FITTINGS, INC.",8,6,3,94,2,1
"PStewart",1958,"WILLIAMS, STATE REVENUE COMMISSIONER, v. STOCKHAM VALVES & FITTINGS, INC.",8,6,3,94,2,1
"PStewart",1958,"WILLIAMS, STATE REVENUE COMMISSIONER, v. STOCKHAM VALVES & FITTINGS, INC.",8,6,3,94,2,1
"PStewart",1958,"RAILWAY EXPRESS AGENCY, INC., v. VIRGINIA",8,7,2,94,2,1
"PStewart",1958,"RAILWAY EXPRESS AGENCY, INC., v. VIRGINIA",8,7,2,94,2,1
"PStewart",1958,"CAMMARANO et ux. v. UNITED STATES",12,9,0,94,1,2
"PStewart",1958,"F. STRAUSS & SON, INC., OF ARKANSAS v. COMMISSIONER OF INTERNAL REVENUE",12,9,0,94,1,2
"PStewart",1958,"F. STRAUSS & SON, INC., OF ARKANSAS v. COMMISSIONER OF INTERNAL REVENUE",12,9,0,94,1,2
"PStewart",1958,"F. STRAUSS & SON, INC., OF ARKANSAS v. COMMISSIONER OF INTERNAL REVENUE",12,9,0,94,1,2
"PStewart",1958,"KELLY v. KOSUGA",8,7,2,94,1,2
"PStewart",1958,"ALLIED STORES OF OHIO, INC., v. BOWERS, TAX COMMISSIONER OF OHIO",8,8,0,94,NA,NA
