"justiceName","term","caseName","issueArea","majVotes","minVotes","justice","vote","majority"
"WODouglas",1946,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER ET AL., DOING BUSINESS AS DEPTHOGRAPH CO.",8,8,1,81,1,2
"WODouglas",1946,"CLEVELAND v. UNITED STATES",1,6,3,81,1,2
"WODouglas",1946,"CLEVELAND v. UNITED STATES",1,6,3,81,1,2
"WODouglas",1946,"CLEVELAND v. UNITED STATES",1,6,3,81,1,2
"WODouglas",1946,"CLEVELAND v. UNITED STATES",1,6,3,81,1,2
"WODouglas",1946,"CLEVELAND v. UNITED STATES",1,6,3,81,1,2
"WODouglas",1946,"CLEVELAND v. UNITED STATES",1,6,3,81,1,2
"WODouglas",1946,"CLEVELAND v. UNITED STATES",1,6,3,81,1,2
"WODouglas",1946,"CLEVELAND v. UNITED STATES",1,6,3,81,1,2
"WODouglas",1946,"CHAMPLIN REFINING CO. v. UNITED STATES ET AL.",8,5,4,81,2,1
"WODouglas",1946,"CHAMPLIN REFINING CO. v. UNITED STATES ET AL.",8,5,4,81,2,1
"WODouglas",1946,"CHAMPLIN REFINING CO. v. UNITED STATES ET AL.",8,5,4,81,2,1
"WODouglas",1946,"UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.",2,5,3,81,1,2
"WODouglas",1946,"UNITED STATES v. HOWARD P. FOLEY CO., INC.",8,6,3,81,1,2
"WODouglas",1946,"RICHFIELD OIL CORP. v. STATE BOARD OF EQUALIZATION",8,7,1,81,1,2
"WODouglas",1946,"AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION",8,6,0,81,NA,NA
"WODouglas",1946,"AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION",8,6,0,81,NA,NA
"WODouglas",1946,"AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION",8,6,0,81,NA,NA
"WODouglas",1946,"AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION",8,6,0,81,NA,NA
"WODouglas",1946,"AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION",8,6,0,81,NA,NA
"WODouglas",1946,"AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION",8,6,0,81,NA,NA
"WODouglas",1946,"AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION",8,6,0,81,NA,NA
"WODouglas",1946,"AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION",8,6,0,81,NA,NA
"WODouglas",1946,"ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.",9,9,0,81,1,2
"WODouglas",1946,"ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.",9,9,0,81,1,2
"WODouglas",1946,"UNEMPLOYMENT COMPENSATION COMMISSION OF ALASKA ET AL. v. ARAGON ET AL.",7,9,0,81,1,2
"WODouglas",1946,"VANSTON BONDHOLDERS PROTECTIVE COMMITTEE v. GREEN ET AL.",8,8,0,81,1,2
"WODouglas",1946,"VANSTON BONDHOLDERS PROTECTIVE COMMITTEE v. GREEN ET AL.",8,8,0,81,1,2
"WODouglas",1946,"VANSTON BONDHOLDERS PROTECTIVE COMMITTEE v. GREEN ET AL.",8,8,0,81,1,2
"WODouglas",1946,"VANSTON BONDHOLDERS PROTECTIVE COMMITTEE v. GREEN ET AL.",8,8,0,81,1,2
"WODouglas",1946,"CARTER v. ILLINOIS",1,5,4,81,2,1
