term,caseName,issueArea,majVotes,minVotes,justice,justiceName,vote,majority
1946,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER ET AL., DOING BUSINESS AS DEPTHOGRAPH CO.",8,8,1,86,HHBurton,2,1
1946,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER ET AL., DOING BUSINESS AS DEPTHOGRAPH CO.",8,8,1,84,RHJackson,1,2
1946,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER ET AL., DOING BUSINESS AS DEPTHOGRAPH CO.",8,8,1,81,WODouglas,1,2
1946,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER ET AL., DOING BUSINESS AS DEPTHOGRAPH CO.",8,8,1,80,FFrankfurter,4,2
1946,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER ET AL., DOING BUSINESS AS DEPTHOGRAPH CO.",8,8,1,79,SFReed,1,2
1946,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER ET AL., DOING BUSINESS AS DEPTHOGRAPH CO.",8,8,1,78,HLBlack,1,2
1946,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER ET AL., DOING BUSINESS AS DEPTHOGRAPH CO.",8,8,1,85,WBRutledge,1,2
1946,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER ET AL., DOING BUSINESS AS DEPTHOGRAPH CO.",8,8,1,82,FMurphy,1,2
1946,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER ET AL., DOING BUSINESS AS DEPTHOGRAPH CO.",8,8,1,87,FMVinson,1,2
1947,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,86,HHBurton,2,1
1947,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,84,RHJackson,,
1947,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,81,WODouglas,1,2
1947,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,80,FFrankfurter,1,2
1947,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,79,SFReed,2,1
1947,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,78,HLBlack,4,2
1947,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,85,WBRutledge,2,1
1947,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,82,FMurphy,1,2
1947,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,87,FMVinson,5,2
1948,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,86,HHBurton,2,1
1948,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,84,RHJackson,,
1948,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,81,WODouglas,1,2
1948,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,80,FFrankfurter,1,2
1948,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,79,SFReed,2,1
1948,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,78,HLBlack,4,2
1948,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,85,WBRutledge,2,1
1948,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,82,FMurphy,1,2
1948,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,2,5,3,87,FMVinson,5,2
